asv_id	FP.GR18286	FP.GR18059	FP.GR18262	FP.GR18061	FP.GR18100	FP.GR18097	FP.GR18066	FP.GR18077	M1	M9	FP.GR18300	FP.GR18064	FP.GR18086	FP.GR18060	FP.GR18249	FP.GR18079	FP.GR18068	FP.GR18052	FP.GR18078	M2	M10	FP.GR18093	FP.GR18099	FP.GR18260	FP.GR18258	FP.GR18259	FP.GR18072	FP.GR18085	FP.GR18065	FP.GR18083	M3	M11	FP.GR18070	FP.GR18245	FP.GR18294	FP.GR18090	FP.GR18295	FP.GR18261	FP.GR18282	FP.GR18275	FP.GR18246	M4	M12	FP.GR18089	FP.GR18095	FP.GR18088	FP.GR18067	FP.GR18062	FP.GR18250	FP.GR18074	FP.GR18055	FP.GR18287	M5	FP.GR18296	FP.GR18284	FP.GR18087	FP.GR18063	FP.GR18272	FP.GR18069	FP.GR18053	FP.GR18082	FP.GR18056	FP.GR18264	M6	FP.GR18051	FP.GR18071	FP.GR18247	FP.GR18273	FP.GR18057	FP.GR18298	FP.GR18076	FP.GR18283	FP.GR18288	M7	FP.GR18073	FP.GR18080	FP.GR18054	FP.GR18252	FP.GR18075	FP.GR18096	FP.GR18081	FP.GR18098	FP.GR18094	M8	COI001013	Plant004013	COI002038	Plant007038	COI003076	Plant006076	KQZ2468_2
Zotu1	8645	6674	4216	1637	2373	477	4113	3011	5	5	5481	51	3350	69	2217	335	1482	2283	1603	5	0	10022	4979	9799	10537	2682	1020	1372	1385	2686	19	8	5363	2287	3766	845	3274	1031	1689	1044	2828	10	7	3803	5465	1275	263	3686	5037	1490	267	3531	9	6	9121	3197	125	61	1577	19	1954	3212	2875	5	5508	730	6878	5457	2589	1098	548	126	2742	5	8247	111	997	99	1900	44	1205	2286	4360	5	6725	62	2636	63	69	83	3354
Zotu13	4	2	0	0	9	0	0	0	0	0	0	0	0	0	3	7	0	1	7	0	0	0	0	0	47	14	0	0	0	0	0	0	0	2	7	2	1997	1	23	2	5	0	2	0	0	0	0	9	6	0	0	0	0	0	0	1	2	1	5	0	0	11	0	0	0	0	0	4	5	1	1	0	0	0	0	0	0	0	9	0	0	1	0	0	0	2	6	0	0	0	0
Zotu10	72	32	9	0	0	3	1	1	0	0	0	1	2	0	52	7	0	23	127	1	1	1	0	0	3	14	7	0	1	631	0	0	1	3	0	1	0	4	10	0	2	0	0	0	24	0	0	1	28	2	0	3	0	0	0	9	14	9	86	2	0	44	8	0	0	0	0	35	0	12	0	3	455	0	24	1	0	1	1	1074	0	21	1	0	36	0	205	1	1	0	0
Zotu152	3	2	0	4	0	0	0	4	0	0	0	0	1	0	1	0	0	1	1	0	0	3	0	2	0	0	0	3	6	3	0	0	6	4	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	7	0	0	1	0	1	0	0	0	23	0	2	0	12	0	16	4	1	0	0	0	0	0	3	0	7	0	3	0	2	1	2	0	1	0	3	0	0	0	0
Zotu7	130	751	149	5	17	0	7	4	2	0	1	1	0	22	20	21	24	345	563	0	0	14	97	37	253	590	5	11	29	131	0	0	0	7	222	3	897	7	89	1	75	0	0	3	30	2	1	15	14	3	4	139	1	1	7	145	696	7	445	0	96	83	22	1	0	2	12	34	5	74	1	5	1	0	1	0	4	5	251	0	0	53	5	0	38	4	867	3	1	4	39
Zotu561	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu435	4	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
Zotu2	124	20	25	5262	1022	198	1534	131	4	1	1633	4	11	19	893	40	682	2388	22	1	1	37	15	2873	16	23	11864	2289	53	8	3	3	2449	2554	320	15	1577	46	13	1062	5	7	2	6607	18	22	18	24	42	2087	4206	2529	4	6	726	8	1	9	1209	500	248	31	12	0	2443	18	11	413	5868	347	5992	10900	2178	6	24	3	6	7	20	664	80	951	3	1	39	9	2412	11	17	3	8
Zotu15	12	0	0	6	8	1	0	32	0	0	1	0	7	3	41	2	10	14	0	0	0	4	0	0	0	9	3	1	0	0	0	0	6	266	1	1	1	845	0	0	106	0	1	2	3	6	1	167	0	4	0	0	0	0	0	4	22	0	2	0	5	2	5	0	0	0	15	0	0	2	8	0	0	0	0	2	0	0	1	3	5	0	7	0	0	3	1	0	0	0	64
Zotu80	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	71	0	0	0	0
Zotu659	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Zotu3	3	2309	6	2	2	9	924	8	0	0	15	13	4041	1743	406	436	11	4272	474	3	5	880	1689	9	14	10	29	609	20	2097	3	4	1	15	15	422	3	1555	2984	146	10	1	2	233	3513	6	5	5	3782	1215	16	14	2	2	6	2573	895	138	115	7	460	1182	2687	2	2	180	4	8	1430	2823	1909	11	17	0	6	11	14	6	3	591	418	1019	2701	1	4935	23	341	11	17	17	16
Zotu100	21	13	16	23	10	13	15	12	7	8	12	2	5	6	4	3	3	6	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	2	3	0	3	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7
Zotu68	25	0	0	0	16	1	0	30	0	0	0	0	0	0	0	0	4	0	1	0	0	24	0	4	10	0	0	0	0	13	0	0	1	0	0	11	3	0	0	0	0	0	0	0	0	2	0	13	0	0	0	0	0	0	0	4	0	0	8	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	5	0	0	0	4
Zotu168	6	0	0	0	12	0	0	10	0	0	0	0	0	0	0	0	1	0	1	0	0	8	0	0	2	0	0	0	0	8	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0
