	NC_kit1	NC_kit2
Zotu2	11	2
Zotu202	0	0
Zotu798	0	0
Zotu13	0	0
Zotu1	11	7
Zotu3	2	3050
Zotu5	1	10
Zotu28	0	1
Zotu179	0	0
Zotu8	2	2
Zotu18	1	0
Zotu239	0	0
Zotu34	0	0
Zotu1201	0	0
Zotu72	0	0
Zotu37	0	0
Zotu97	0	0
Zotu92	0	0
Zotu5091	0	0
Zotu774	0	0
Zotu165	1	3
Zotu790	0	0
Zotu4230	0	0
Zotu23	1	1
Zotu1028	0	0
Zotu1299	0	0
Zotu3021	0	0
Zotu259	0	0
Zotu209	0	0
Zotu11	1	0
Zotu1214	0	0
Zotu380	1	0
Zotu3054	0	0
Zotu80	0	0
Zotu74	0	0
Zotu49	1	0
Zotu387	0	0
Zotu1759	0	0
Zotu5135	0	0
Zotu326	0	0
Zotu7	1	1344
Zotu445	0	0
Zotu124	0	0
Zotu1723	0	0
Zotu353	0	0
Zotu16	0	0
Zotu75	0	0
Zotu542	0	0
Zotu9	0	927
Zotu4837	1	0
Zotu657	0	0
Zotu1655	0	0
Zotu38	0	0
Zotu169	0	0
Zotu1124	0	0
Zotu112	0	0
Zotu24	2	0
Zotu6278	0	0
Zotu108	0	1
Zotu348	0	0
Zotu35	0	0
Zotu253	0	0
Zotu240	0	0
Zotu2640	0	0
Zotu21	2	0
Zotu29	0	0
Zotu20	0	0
Zotu1129	0	0
Zotu5197	0	0
Zotu5214	0	0
Zotu6403	0	0
Zotu2256	0	0
Zotu290	0	0
Zotu407	0	0
Zotu39	0	0
Zotu4964	0	0
Zotu1757	0	0
Zotu43	0	0
Zotu268	0	0
Zotu26	0	0
Zotu182	0	0
Zotu156	0	0
Zotu104	0	0
Zotu36	0	0
Zotu413	0	0
Zotu6116	0	0
Zotu395	0	0
Zotu426	0	1
Zotu826	0	0
Zotu1390	0	0
Zotu96	0	0
Zotu83	0	0
Zotu1051	0	0
Zotu917	0	0
Zotu633	0	0
Zotu928	0	0
Zotu693	0	0
Zotu1305	0	0
Zotu6455	0	0
Zotu3666	0	0
Zotu535	0	0
Zotu522	0	0
Zotu1753	0	0
Zotu3067	0	0
Zotu152	0	0
Zotu5952	0	0
Zotu185	0	0
Zotu1571	0	0
Zotu1969	0	0
Zotu4	1	2938
Zotu2947	0	0
Zotu2350	0	0
Zotu632	0	0
Zotu488	0	0
Zotu3229	0	0
Zotu4612	0	0
Zotu732	0	0
Zotu218	0	0
Zotu3117	0	0
Zotu44	0	0
Zotu2558	0	0
Zotu492	0	0
Zotu498	0	0
Zotu1057	0	0
Zotu327	0	0
Zotu235	0	0
Zotu816	0	0
Zotu282	0	0
Zotu1816	0	0
Zotu214	0	0
Zotu3989	0	0
Zotu219	0	0
Zotu4883	0	0
Zotu850	0	0
Zotu402	0	0
Zotu1048	0	0
Zotu1685	0	0
Zotu1435	0	0
Zotu69	0	0
Zotu2759	0	0
Zotu305	0	0
Zotu3947	0	0
Zotu887	0	0
Zotu3392	0	0
Zotu602	0	0
Zotu351	0	0
Zotu1461	0	0
Zotu2738	0	0
Zotu188	0	0
Zotu377	0	0
Zotu355	0	0
Zotu225	0	0
Zotu127	0	0
Zotu2329	0	0
Zotu776	0	0
Zotu12	0	2
Zotu1945	0	0
Zotu506	0	0
Zotu433	0	0
Zotu6498	0	0
Zotu5101	0	0
Zotu902	0	0
Zotu1266	0	0
Zotu1130	0	0
Zotu157	0	0
Zotu464	0	0
Zotu429	0	0
Zotu1443	0	0
Zotu456	0	0
Zotu789	0	0
Zotu270	0	0
Zotu6	4	2
Zotu1035	0	0
Zotu135	0	0
Zotu3077	0	0
Zotu212	0	0
Zotu2315	0	0
Zotu196	0	0
Zotu458	0	0
Zotu2001	0	0
Zotu813	0	0
Zotu53	0	0
Zotu5278	0	0
Zotu6485	0	0
Zotu2417	0	0
Zotu370	0	0
Zotu265	0	0
Zotu652	0	0
Zotu1147	0	0
Zotu2098	0	0
Zotu128	0	0
Zotu186	0	0
Zotu655	0	0
Zotu41	1	0
Zotu144	0	0
Zotu286	126	0
Zotu1067	0	0
Zotu639	0	0
Zotu85	0	0
Zotu1367	0	0
Zotu94	0	0
Zotu31	0	0
Zotu4282	0	0
Zotu30	0	0
Zotu201	0	0
Zotu562	0	0
Zotu5258	0	0
Zotu247	0	0
Zotu309	0	0
Zotu216	0	0
Zotu223	0	0
Zotu51	0	0
Zotu180	0	0
Zotu61	0	0
Zotu4944	0	0
Zotu346	0	0
Zotu42	0	1
