	NC_pcr003	NC_pcr001	NC_pcr002
Zotu1	63	4	4
Zotu13	0	0	0
Zotu10	0	0	1
Zotu152	0	0	0
Zotu7	4	0	0
Zotu561	0	0	0
Zotu435	0	0	0
Zotu2	17	6	0
Zotu15	0	0	0
Zotu80	0	0	0
Zotu659	0	0	0
Zotu3	12	0	0
Zotu100	33	0	0
Zotu68	0	0	0
Zotu168	0	0	0
Zotu496	2	0	0
Zotu34	0	0	0
Zotu62	7	0	0
Zotu887	0	0	0
Zotu170	0	0	0
Zotu383	0	0	0
Zotu461	0	0	0
Zotu47	0	0	0
Zotu23	5	2	0
Zotu116	0	0	0
Zotu4	2210	5209	4518
Zotu92	1	0	0
Zotu212	0	0	0
Zotu423	0	0	0
Zotu188	2	0	0
Zotu129	0	0	0
Zotu8	0	1	431
Zotu185	0	0	0
Zotu324	0	0	0
Zotu508	0	0	0
Zotu24	1	3	1
Zotu842	0	0	0
Zotu560	0	0	0
Zotu360	0	0	0
Zotu233	6	0	0
Zotu289	0	0	0
Zotu684	2	0	0
Zotu909	0	0	0
Zotu239	5	0	0
Zotu303	0	0	0
Zotu744	0	0	0
Zotu5	7	1	0
Zotu463	0	0	0
Zotu899	0	0	0
Zotu1144	1	0	0
Zotu340	0	0	0
Zotu510	1	0	0
Zotu960	0	0	0
Zotu294	0	0	0
Zotu12	2	0	1
Zotu6	6	0	1
Zotu417	0	0	0
Zotu49	0	0	1
Zotu154	2	1	0
Zotu550	0	0	0
Zotu273	0	0	0
Zotu477	0	0	1
Zotu445	0	0	0
Zotu28	0	0	1
Zotu565	1	0	0
Zotu891	0	0	0
Zotu562	1	0	0
Zotu338	0	1	0
Zotu488	0	0	0
Zotu783	0	0	0
Zotu195	0	0	0
Zotu740	0	0	0
Zotu328	0	0	0
Zotu213	0	0	0
Zotu231	0	0	0
Zotu9	0	1	2
Zotu629	0	0	0
Zotu115	1	0	0
Zotu110	1	1	0
Zotu40	0	0	2
Zotu255	1	0	0
Zotu882	2	0	0
Zotu274	0	0	0
Zotu265	0	0	0
Zotu11	0	1	0
Zotu700	0	0	0
Zotu119	0	0	0
Zotu953	0	0	0
Zotu796	0	0	0
Zotu777	0	0	0
Zotu82	0	0	0
Zotu448	0	0	0
Zotu981	0	0	0
Zotu18	0	0	1
