asv_id	FP.GR18286	FP.GR18059	FP.GR18262	FP.GR18061	FP.GR18100	FP.GR18097	FP.GR18066	FP.GR18077	M1	M9	FP.GR18300	FP.GR18064	FP.GR18086	FP.GR18060	FP.GR18249	FP.GR18079	FP.GR18068	FP.GR18052	FP.GR18078	M2	M10	KQZ2468_2	FP.GR18093	FP.GR18099	FP.GR18260	FP.GR18258	FP.GR18259	FP.GR18072	FP.GR18085	FP.GR18065	FP.GR18083	M3	M11	FP.GR18070	FP.GR18245	FP.GR18294	FP.GR18090	FP.GR18295	FP.GR18261	FP.GR18282	FP.GR18275	FP.GR18246	M4	M12	Plant004013	FP.GR18089	FP.GR18095	FP.GR18088	FP.GR18067	FP.GR18062	FP.GR18250	FP.GR18074	FP.GR18055	FP.GR18287	M5	FP.GR18296	FP.GR18284	FP.GR18087	FP.GR18063	FP.GR18272	FP.GR18069	FP.GR18053	FP.GR18082	FP.GR18056	FP.GR18264	M6	Plant007038	FP.GR18051	FP.GR18071	FP.GR18247	FP.GR18273	FP.GR18057	FP.GR18298	FP.GR18076	FP.GR18283	FP.GR18288	M7	FP.GR18073	FP.GR18080	FP.GR18054	FP.GR18252	FP.GR18075	FP.GR18096	FP.GR18081	FP.GR18098	FP.GR18094	M8	Plant006076
Zotu2	1060	216	229	968	2560	4	12	6692	4	6	1650	2	352	518	603	18	6	48	27	5	5	1695	701	305	147	101	6	1	393	19	2733	4	2	510	408	11	155	16	178	21	23	1085	4	3	2065	76	227	168	2	6	2	1283	19	4534	5	1	3	133	123	42	471	3	7168	747	109	5	1025	160	2	451	222	1337	31	30	13	1178	2	28	3	355	1	15	13	1703	7129	706	4	28
Zotu202	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	1	0	0	0	0	0	0	0	0	25	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	70	0	0	0	0	0	0
Zotu798	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Zotu13	55	11	7	61	424	0	1	611	0	0	34	0	5	40	69	9	148	9	11	0	0	159	34	18	0	2	3	0	163	355	260	0	1	4	30	1	205	0	14	2	0	53	0	0	7	5	1	110	0	381	6	143	12	370	1	0	2	17	5	2	43	0	887	78	15	0	100	27	0	20	8	153	0	8	1	81	0	4	0	420	1	194	1	262	438	5	1	3
Zotu1	189	66	83	159	5792	7	134	3772	12	8	250	1	198	449	1787	331	3724	593	541	8	7	2279	204	92	79	23	419	3	2326	2534	2182	2	7	56	633	37	5641	219	1454	77	14	2074	8	19	97	90	14	4242	9	3771	345	4201	921	2359	5	93	85	238	52	90	807	12	6442	3115	320	6	1657	254	0	87	129	2456	265	169	12	827	2	18	4	4003	24	5688	871	3611	3644	700	16	41
Zotu3	26	2	5	2	2	3	1	8	3424	1451	19	0	1	1	4	3	0	30	13	3104	167	40	2	0	2	0	1	0	1	1	3	2470	276	1	22	1	1	1	15	1	456	3	2374	358	80	0	1	1	2	0	0	0	2	5	3141	7	3	0	6	0	4	0	1	1	2	3158	57	2	0	0	0	1	0	1	2	5	2862	13	6	13	8	14	9	7	6	27	2174	4409
Zotu5	3	1	1	7	4	3015	2	1	0	2	0	0	0	5	0	14	3	71	9	2	0	48	1	26	0	0	52	0	0	0	0	0	0	1	1	5	8	2	73	33	1	21	1	2	190	0	21	151	1	2	2	64	6	15	0	75	14	8	19	17	5785	14	30	42	42	18	10991	0	0	0	0	7	6	11	12	60	0	0	0	0	0	144	14	11	1	2	0	10
Zotu28	39	1	0	6	159	0	0	297	0	0	11	0	0	11	17	0	43	7	1	0	0	64	5	5	0	15	5	0	39	170	133	1	0	12	18	2	40	19	19	0	0	91	1	1	1	0	0	17	0	124	0	48	1	146	0	0	1	2	1	0	22	0	371	65	2	1	36	4	0	14	2	62	0	2	0	0	0	1	0	112	1	73	1	63	219	10	2	0
Zotu179	13	0	0	0	0	0	0	13	0	0	0	0	0	0	2	19	0	0	27	0	0	0	0	0	0	0	0	0	0	5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	3	30	0	5	0	0	0	71	1	0	24	0	2	0	0	0	0	0	0	0	0	0	6	0	0
Zotu8	66	36	10	101	633	1	6	1235	0	0	73	1	6	98	124	9	276	22	66	0	0	346	52	29	10	8	13	1	193	722	494	1	4	14	83	2	118	29	52	6	5	253	0	0	94	5	7	73	0	368	9	335	12	918	0	0	12	6	6	2	84	3	1543	205	49	2	206	65	0	33	13	238	16	35	6	110	0	3	0	294	3	243	71	687	865	59	1	2
