Taxa	Common_name	Samples	Group	Abundant
Fabaceae	peas	M1	EX	0,9
Solanaceae	potato	M1	EX	0
Taraxacum	dandelion	M1	EX	0
Triticum	wheat	M1	EX	0,1
Fabaceae	peas	M1	RE	0,99331987
Solanaceae	potato	M1	RE	0
Taraxacum	dandelion	M1	RE	0,00668013
Triticum	wheat	M1	RE	0
Fabaceae	peas	M2	EX	0,5
Solanaceae	potato	M2	EX	0
Taraxacum	dandelion	M2	EX	0
Triticum	wheat	M2	EX	0,5
Fabaceae	peas	M2	RE	0,987592652
Solanaceae	potato	M2	RE	0
Taraxacum	dandelion	M2	RE	0,009990332
Triticum	wheat	M2	RE	0,002417016
Fabaceae	peas	M3	EX	0,1
Solanaceae	potato	M3	EX	0
Taraxacum	dandelion	M3	EX	0
Triticum	wheat	M3	EX	0,9
Fabaceae	peas	M3	RE	0,953062047
Solanaceae	potato	M3	RE	0
Taraxacum	dandelion	M3	RE	0,014101531
Triticum	wheat	M3	RE	0,032836422
Fabaceae	peas	M4	EX	0,9
Solanaceae	potato	M4	EX	0,1
Taraxacum	dandelion	M4	EX	0
Triticum	wheat	M4	EX	0
Fabaceae	peas	M4	RE	0,987900515
Solanaceae	potato	M4	RE	0,001792516
Taraxacum	dandelion	M4	RE	0,010306968
Triticum	wheat	M4	RE	0
Fabaceae	peas	M5	EX	0,5
Solanaceae	potato	M5	EX	0,5
Taraxacum	dandelion	M5	EX	0
Triticum	wheat	M5	EX	0
Fabaceae	peas	M5	RE	0,928759894
Solanaceae	potato	M5	RE	0,071240106
Taraxacum	dandelion	M5	RE	0
Triticum	wheat	M5	RE	0
Fabaceae	peas	M6	EX	0,1
Solanaceae	potato	M6	EX	0,9
Taraxacum	dandelion	M6	EX	0
Triticum	wheat	M6	EX	0
Fabaceae	peas	M6	RE	0,211206897
Solanaceae	potato	M6	RE	0,769396552
Taraxacum	dandelion	M6	RE	0,019396552
Triticum	wheat	M6	RE	0
Fabaceae	peas	M7	EX	0,9
Solanaceae	potato	M7	EX	0
Taraxacum	dandelion	M7	EX	0,1
Triticum	wheat	M7	EX	0
Fabaceae	peas	M7	RE	0,553333333
Solanaceae	potato	M7	RE	0
Taraxacum	dandelion	M7	RE	0,446666667
Triticum	wheat	M7	RE	0
Fabaceae	peas	M8	EX	0,5
Solanaceae	potato	M8	EX	0
Taraxacum	dandelion	M8	EX	0,5
Triticum	wheat	M8	EX	0
Fabaceae	peas	M8	RE	0,085164835
Solanaceae	potato	M8	RE	0
Taraxacum	dandelion	M8	RE	0,914835165
Triticum	wheat	M8	RE	0
Fabaceae	peas	M9	EX	0,1
Solanaceae	potato	M9	EX	0
Taraxacum	dandelion	M9	EX	0,9
Triticum	wheat	M9	EX	0
Fabaceae	peas	M9	RE	0,79514491
Solanaceae	potato	M9	RE	0
Taraxacum	dandelion	M9	RE	0,20485509
Triticum	wheat	M9	RE	0
Fabaceae	peas	M10	EX	0
Solanaceae	potato	M10	EX	0
Taraxacum	dandelion	M10	EX	0,1
Triticum	wheat	M10	EX	0,9
Fabaceae	peas	M10	RE	0,374100719
Solanaceae	potato	M10	RE	0
Taraxacum	dandelion	M10	RE	0,591366906
Triticum	wheat	M10	RE	0,034532374
Fabaceae	peas	M11	EX	0
Solanaceae	potato	M11	EX	0
Taraxacum	dandelion	M11	EX	0,5
Triticum	wheat	M11	EX	0,5
Fabaceae	peas	M11	RE	0,436513158
Solanaceae	potato	M11	RE	0
Taraxacum	dandelion	M11	RE	0,563486842
Triticum	wheat	M11	RE	0
Fabaceae	peas	M12	EX	0
Solanaceae	potato	M12	EX	0
Taraxacum	dandelion	M12	EX	0,9
Triticum	wheat	M12	EX	0,1
Fabaceae	peas	M12	RE	0,447522816
Solanaceae	potato	M12	RE	0
Taraxacum	dandelion	M12	RE	0,552477184
Triticum	wheat	M12	RE	0
