sample	negcontrol	type
FP.GR18286	nc_kit1	kit
FP.GR18300	nc_kit1	kit
FP.GR18093	nc_kit1	kit
FP.GR18070	nc_kit1	kit
FP.GR18089	nc_kit1	kit
FP.GR18284	nc_kit1	kit
FP.GR18051	nc_kit1	kit
FP.GR18073	nc_kit1	kit
FP.GR18059	nc_kit1	kit
FP.GR18064	nc_kit1	kit
FP.GR18099	nc_kit1	kit
FP.GR18245	nc_kit1	kit
FP.GR18095	nc_kit1	kit
FP.GR18087	nc_kit1	kit
FP.GR18071	nc_kit1	kit
FP.GR18080	nc_kit1	kit
FP.GR18262	nc_kit1	kit
FP.GR18086	nc_kit1	kit
FP.GR18260	nc_kit1	kit
FP.GR18294	nc_kit1	kit
FP.GR18088	nc_kit1	kit
FP.GR18063	nc_kit1	kit
FP.GR18247	nc_kit1	kit
FP.GR18054	nc_kit1	kit
FP.GR18061	nc_kit1	kit
FP.GR18060	nc_kit1	kit
FP.GR18258	nc_kit1	kit
FP.GR18090	nc_kit1	kit
FP.GR18067	nc_kit1	kit
FP.GR18272	nc_kit1	kit
FP.GR18273	nc_kit1	kit
FP.GR18252	nc_kit1	kit
FP.GR18100	nc_kit1	kit
FP.GR18249	nc_kit1	kit
FP.GR18259	nc_kit1	kit
FP.GR18295	nc_kit1	kit
FP.GR18062	nc_kit1	kit
FP.GR18069	nc_kit1	kit
FP.GR18057	nc_kit1	kit
FP.GR18075	nc_kit1	kit
FP.GR18097	nc_kit1	kit
FP.GR18079	nc_kit1	kit
FP.GR18072	nc_kit1	kit
FP.GR18261	nc_kit1	kit
FP.GR18250	nc_kit1	kit
FP.GR18053	nc_kit1	kit
FP.GR18298	nc_kit1	kit
FP.GR18096	nc_kit1	kit
FP.GR18068	nc_kit1	kit
FP.GR18085	nc_kit2	kit
FP.GR18282	nc_kit2	kit
FP.GR18074	nc_kit2	kit
FP.GR18082	nc_kit2	kit
FP.GR18076	nc_kit2	kit
FP.GR18081	nc_kit2	kit
FP.GR18066	nc_kit2	kit
FP.GR18052	nc_kit2	kit
FP.GR18065	nc_kit2	kit
FP.GR18275	nc_kit2	kit
FP.GR18055	nc_kit2	kit
FP.GR18056	nc_kit2	kit
FP.GR18283	nc_kit2	kit
FP.GR18098	nc_kit2	kit
FP.GR18077	nc_kit2	kit
FP.GR18078	nc_kit2	kit
FP.GR18083	nc_kit2	kit
FP.GR18246	nc_kit2	kit
KQZ2468_2	nc_kit2	kit
FP.GR18287	nc_kit2	kit
FP.GR18264	nc_kit2	kit
FP.GR18288	nc_kit2	kit
FP.GR18094	nc_kit2	kit
M1	nc_kit2	kit
M2	nc_kit2	kit
M3	nc_kit2	kit
M4	nc_kit2	kit
M5	nc_kit2	kit
M6	nc_kit2	kit
M7	nc_kit2	kit
M8	nc_kit2	kit
M9	nc_kit2	kit
M10	nc_kit2	kit
M11	nc_kit2	kit
M12	nc_kit2	kit
FP.GR18296	nc_kit2	kit
Plant004013	nc_kit1	kit
Plant006076	nc_kit2	kit
Plant007038	nc_kit1	kit
