Phylum;TM7;Bacteroidetes;Cyanobacteria;[Thermi];Proteobacteria;Chloroflexi;Chlamydiae;Unsigned;Deferribacteres;Synergistetes;Actinobacteria;Tenericutes;Fusobacteria;Firmicutes
FPS001;19;0;12;0;538;0;0;54;0;0;512;1294;66;682
FPS002;0;53;0;0;250;0;0;162;0;6;785;16;39;1870
FPS003;0;0;3;0;118;0;0;99;0;0;956;61;109;1927
FPS004;0;47;95;0;244;0;0;0;0;0;1215;108;165;1266
FPS005;0;41;0;0;224;0;0;32;0;36;219;8;0;2726
FPS006;29;51;0;0;151;0;0;187;0;0;1364;63;169;1172
FPS008;44;41;0;0;897;0;0;105;0;0;734;0;155;1242
FPS009;32;0;0;0;281;6;0;75;0;0;931;130;110;1597
FPS010;0;0;5;0;211;0;0;0;0;0;547;6;19;2488
FPS011;62;47;0;0;936;0;3;61;0;0;968;0;130;1084
FPS012;0;0;0;0;229;0;0;0;0;0;2874;3;0;79
FPS013;0;43;17;28;76;0;0;0;0;0;1488;0;96;1464
FPS014;0;32;0;0;64;0;0;173;0;0;1282;229;240;1130
FPS015;0;0;60;0;319;0;5;0;0;0;662;25;0;2156
FPS019;69;82;0;0;234;0;0;103;0;0;880;307;235;1288
FPS021;0;16;0;0;1040;23;7;95;0;0;851;0;0;1150
FPS022;0;8;0;0;355;0;0;120;0;0;988;0;461;1196
FPS023;57;0;0;0;413;0;0;142;0;0;926;487;1;1213
FPS025;40;88;0;0;143;0;0;68;0;0;900;2;250;1765
FPS026;45;43;0;0;398;0;4;90;0;0;855;161;406;1205
FPS027;0;0;55;0;1243;0;0;0;0;0;501;22;0;1450
FPS029;59;0;17;0;284;0;0;172;0;0;1302;39;109;1147
FPS030;0;0;25;0;816;0;0;44;0;0;312;29;0;2057
FPS031;61;48;30;0;296;0;0;149;0;0;780;69;315;1447
FPS032;47;67;11;0;154;0;0;106;0;0;985;0;171;1610
FPS034;0;22;0;0;346;0;0;67;0;0;1008;13;159;1626
FPS035;0;0;8;0;75;0;5;51;0;44;650;0;258;2095
FPS036;0;0;8;0;479;0;0;0;0;36;404;18;0;2339
FPS038;0;0;0;0;517;0;0;29;0;0;441;1194;72;963
FPS039;0;17;21;0;937;0;0;0;0;45;649;22;0;1576
FPS040;0;43;41;0;257;0;0;20;0;12;820;22;55;1924
FPS041;0;28;0;0;81;0;0;174;0;0;971;0;4;1793
FPS042;0;41;0;0;235;0;0;132;0;0;1184;52;191;1216
FPS044;33;84;0;0;273;5;0;165;0;0;1077;0;253;1405
FPS045;0;0;0;0;2497;0;0;26;0;0;381;0;0;365
FPS046;0;0;0;0;830;0;0;0;0;0;431;1038;0;892
FPS047;0;11;0;0;405;29;0;36;0;0;659;1112;54;823
FPS049;8;4;0;0;818;0;0;0;0;0;311;986;49;1066
FPS050;0;18;0;0;893;0;0;111;0;0;1049;74;196;873
FPS052;139;23;47;0;30;0;0;125;0;0;1031;258;103;1286
FPS053;0;6;0;1;149;0;0;59;0;0;374;29;36;2585
FPS054;0;58;0;0;245;0;0;207;0;0;923;79;116;1569
FPS055;0;38;0;0;802;0;0;93;0;0;908;34;209;1122
FPS056;0;0;0;0;461;0;0;0;0;72;396;0;0;2294
FPS058;40;38;3;0;239;0;0;104;0;0;1648;0;33;1109
FPS059;0;20;22;0;96;0;0;81;16;0;1051;34;0;1846
FPS060;4;0;0;0;41;3;0;0;0;0;335;16;41;2802
FPS061;0;114;0;0;820;0;0;56;0;0;641;0;386;1234
FPS062;0;0;0;0;185;0;0;87;0;0;539;0;116;2274
FPS065;0;0;0;0;289;0;0;0;0;0;857;93;7;1987
FPS066;38;39;42;9;338;0;0;51;0;0;533;775;212;1187
FPS067;12;0;0;0;977;0;0;109;0;0;750;0;270;1053
FPS069;0;13;0;0;744;0;0;163;0;0;750;0;82;1483
FPS070;92;96;0;0;282;0;0;119;0;0;880;135;386;1204
FPS071;0;53;6;0;360;0;0;206;0;0;1015;49;192;1252
FPS072;0;83;17;0;219;0;0;163;0;19;696;376;152;1525
FPS073;24;29;25;0;41;0;0;114;0;7;504;7;109;2337
FPS074;0;8;8;0;148;0;0;62;0;0;587;1031;85;1326
FPS075;0;3;0;0;144;0;0;51;0;0;758;0;57;2194
