Genus;[Clostridium];[Eubacterium];Acetobacter;Acinetobacter;Actinobacillus;Actinomyces;Aeriscardovia;Aeromicrobium;Afipia;Agrobacterium;Alcanivorax;Alkanindiges;Alloiococcus;Anaerococcus;Arcanobacterium;Arsenicicoccus;Arthrobacter;Atopobium;Bacillus;Bacteroides;Bartonella;Bdellovibrio;Bifidobacterium;Blastococcus;Bombiscardovia;Brevibacterium;Brevundimonas;Brochothrix;Brooklawnia;Bulleidia;Campylobacter;Candidatus Arthromitus;Carnobacterium;Cellulomonas;Chelonobacter;Chlamydia;Chroococcidiopsis;Chryseobacterium;Citrobacter;Clostridium;Corynebacterium;Devosia;Dialister;Enhydrobacter;Enterococcus;Epulopiscium;Exiguobacterium;Finegoldia;Friedmanniella;Frigoribacterium;Fusobacterium;Gallibacterium;Gallicola;Gemella;Gordonia;Haemophilus;Helcococcus;Helicobacter;Humicoccus;Hymenobacter;Hyphomicrobium;Intrasporangium;Jonquetella;Kaistobacter;Kingella;Kocuria;Lactobacillus;Lactococcus;Legionella;Leuconostoc;Luteococcus;Macrococcus;Marinococcus;Massilia;Megasphaera;Methylobacterium;Methylopila;Microbacterium;Micrococcus;Microlunatus;Mobiluncus;Mucispirillum;Mycoplasma;Nakamurella;Neisseria;Nocardioides;Novosphingobium;Olsenella;Oscillospira;p-75-a5;Paenibacillus;Paracoccus;Pedobacter;Peptococcus;Peptoniphilus;Peptostreptococcus;Peredibacter;ph2;Phycicoccus;Planktothrix;Prevotella;Propionibacterium;Propionicimonas;Pseudomonas;Pseudonocardia;Psychrobacter;Reyranella;Rhizobium;Rhodococcus;Rhodoplanes;Roseomonas;Rothia;Rubellimicrobium;Rudanella;Saccharibacillus;Sanguibacter;Sharpea;Shigella;Sphingomonas;Sphingopyxis;Spirosoma;Sporocytophaga;Staphylococcus;Stenotrophomonas;Streptobacillus;Streptococcus;Suttonella;Truepera;Turicibacter;Varibaculum;Veillonella;Weissella;Wolbachia;Yonghaparkia
FPS001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148;0;0;0;0;0;0;0;0;6;0;62;0;0;0;0;0;0;0;0;0;253;31;322;0;78;13;230;0;0;0;0;0;0;369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;0;199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164;0;0;0;0;16;0;246;0;0;0;0;366;0;0;8;0
FPS002;117;28;0;0;0;30;88;0;0;0;0;0;0;0;49;0;0;647;0;0;0;0;0;0;297;0;0;0;350;0;0;0;0;0;0;0;0;0;0;417;326;0;190;0;3015;0;0;0;0;0;0;268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;0;0;0;0;0;0;293;0;0;838;0;0;0;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;382;0;0;0;0;0;0;167;0;0;0;180;218;526;0;16;0
FPS003;140;0;0;0;0;55;109;0;0;0;0;0;0;12;33;0;0;109;0;0;0;0;0;0;258;0;0;0;54;0;0;0;0;0;0;0;0;0;0;227;588;12;63;30;882;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2874;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;96;0;0;0;0;38;0;0;0;11;0;0;0;0;0;247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;93;0;333;0;0;0;879;194;443;0;11;0
FPS004;0;0;0;8;0;85;0;0;0;0;0;0;0;0;0;0;0;44;0;144;0;0;0;0;0;0;21;0;48;0;108;0;0;0;0;0;0;0;0;55;85;0;103;95;0;0;0;0;0;0;91;0;0;13;0;0;0;0;0;0;0;0;47;0;0;6;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196;0;218;46;10;0;177;0;0;0;43;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147;0;74;15;21;0;0;216;0;0;0;0
FPS005;0;0;0;0;0;42;242;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;415;0;0;23;6930;0;0;0;0;0;0;0;0;0;0;0;0;149;0;0;0;0;0;0;0;0;1435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;447;0;0;0;0;94;0;0;42;0;0;139;0;401;0;4;0
FPS006;113;0;0;0;0;391;12;0;0;0;0;0;0;0;62;0;0;303;0;95;0;0;0;0;0;0;0;0;178;0;162;0;0;0;0;0;0;0;0;532;353;0;218;11;3;0;0;0;0;0;0;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;156;0;0;0;0;0;53;192;13;0;353;0;0;0;205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;3;563;0;0;0;907;422;0;0;10;0
FPS008;0;0;0;0;0;52;7;0;0;0;0;0;0;0;195;0;0;228;0;0;0;0;0;0;22;0;2;0;97;0;0;0;0;0;0;0;0;0;0;129;691;0;92;7;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;1697;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;204;127;0;183;0;23;0;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1520;0;0;0;0;25;0;586;118;0;0;117;542;0;0;0;0
FPS009;0;0;0;0;256;0;0;0;0;0;0;0;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;116;0;49;9;21;0;0;0;0;0;0;311;0;0;0;0;0;0;0;0;0;25;0;0;0;0;1374;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;1815;0;0;0;0;0;0;0;0;0;0;57;212;174;0;182;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;15;0;0;0;0;6;0;304;0;0;0;0;107;0;18;0;0
FPS010;63;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;111;0;0;0;0;0;0;42;0;0;0;27;0;0;0;0;0;0;0;0;0;0;4346;232;0;0;19;1204;0;0;0;0;0;0;199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3099;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;72;0;0;0;0;0;0;0;0;10;0;0;0;0;0;155;0;0;0;138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;268;0;0;0;0;28;0;68;0;0;0;42;243;10;0;8;0
FPS011;45;0;0;0;37;359;0;0;0;0;0;0;0;0;0;0;0;119;0;132;0;0;0;0;0;0;0;0;45;0;105;0;0;0;0;0;0;0;210;507;193;0;124;0;890;200;0;0;0;0;143;36;0;0;0;0;0;0;0;0;0;0;116;0;0;0;3290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;194;0;0;0;7;0;0;152;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1857;0;0;0;0;0;0;388;0;0;0;0;220;0;0;9;0
