OTUID;FPS001;FPS002;FPS003;FPS004;FPS005;FPS006;FPS007;FPS008;FPS009;FPS010;FPS011;FPS012;FPS013;FPS014;FPS015;FPS017;FPS018;FPS019;FPS020;FPS021;FPS022;FPS023;FPS024;FPS025;FPS026;FPS027;FPS028;FPS029;FPS030;FPS031;FPS032;FPS033;FPS034;FPS035;FPS036;FPS037;FPS038;FPS039;FPS040;FPS041;FPS042;FPS043;FPS044;FPS045;FPS046;FPS047;FPS048;FPS049;FPS050;FPS051;FPS052;FPS053;FPS054;FPS055;FPS056;FPS057;FPS058;FPS059;FPS060;FPS061;FPS062;FPS063;FPS064;FPS065;FPS066;FPS067;FPS068;FPS069;FPS070;FPS071;FPS072;FPS073;FPS074;FPS075
2bc9676743bef4ede40eea440af85da7;0.0;424.0;122.0;0.0;1248.0;0.0;0.0;0.0;0.0;211.0;187.0;0.0;0.0;71.0;0.0;0.0;0.0;76.0;0.0;100.0;15.0;192.0;0.0;0.0;87.0;109.0;0.0;0.0;658.0;0.0;0.0;0.0;0.0;0.0;597.0;0.0;0.0;0.0;0.0;37.0;0.0;0.0;90.0;0.0;0.0;77.0;0.0;323.0;135.0;0.0;0.0;265.0;88.0;0.0;485.0;0.0;64.0;91.0;867.0;110.0;792.0;0.0;0.0;0.0;136.0;100.0;0.0;760.0;0.0;72.0;0.0;67.0;0.0;0.0
083ac7e33d1ac8e55007f173fbc0d58f;120.0;478.0;24.0;127.0;0.0;270.0;0.0;128.0;0.0;169.0;98.0;0.0;83.0;366.0;0.0;0.0;122.0;68.0;0.0;63.0;310.0;112.0;114.0;40.0;254.0;0.0;0.0;418.0;0.0;114.0;282.0;127.0;353.0;128.0;0.0;0.0;69.0;0.0;135.0;116.0;279.0;0.0;80.0;137.0;0.0;81.0;0.0;73.0;243.0;0.0;145.0;117.0;113.0;164.0;0.0;0.0;299.0;247.0;72.0;146.0;282.0;86.0;0.0;0.0;112.0;147.0;0.0;98.0;130.0;121.0;112.0;73.0;105.0;168.0
73616738da31f3e54b28c891fba915e9;235.0;56.0;54.0;84.0;0.0;0.0;0.0;44.0;154.0;0.0;110.0;0.0;127.0;154.0;0.0;0.0;290.0;45.0;0.0;102.0;378.0;359.0;0.0;103.0;139.0;0.0;18.0;174.0;0.0;140.0;213.0;0.0;635.0;566.0;0.0;0.0;37.0;0.0;156.0;402.0;317.0;0.0;60.0;0.0;0.0;43.0;0.0;145.0;94.0;0.0;67.0;56.0;153.0;95.0;0.0;0.0;145.0;346.0;132.0;197.0;226.0;0.0;0.0;0.0;0.0;154.0;0.0;127.0;219.0;114.0;116.0;261.0;147.0;66.0
6257bb60858ca8f60d88c9c244e13f2c;0.0;87.0;0.0;0.0;130.0;0.0;0.0;403.0;0.0;87.0;513.0;91.0;0.0;0.0;117.0;0.0;0.0;0.0;0.0;283.0;0.0;0.0;0.0;0.0;0.0;312.0;0.0;0.0;294.0;0.0;0.0;0.0;0.0;0.0;167.0;0.0;177.0;368.0;0.0;0.0;0.0;0.0;0.0;1540.0;69.0;63.0;0.0;334.0;449.0;0.0;0.0;0.0;133.0;254.0;100.0;0.0;0.0;0.0;0.0;0.0;49.0;0.0;0.0;92.0;71.0;542.0;0.0;337.0;0.0;122.0;0.0;0.0;0.0;31.0
b29452ba4fe60e67b71e8956663b3536;0.0;401.0;109.0;0.0;1101.0;0.0;0.0;0.0;0.0;200.0;130.0;0.0;0.0;0.0;0.0;0.0;0.0;58.0;0.0;31.0;0.0;186.0;0.0;50.0;44.0;0.0;0.0;126.0;543.0;0.0;0.0;0.0;0.0;0.0;484.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;87.0;0.0;0.0;94.0;0.0;230.0;0.0;0.0;0.0;227.0;98.0;0.0;436.0;0.0;45.0;61.0;742.0;86.0;687.0;0.0;0.0;0.0;101.0;33.0;0.0;638.0;0.0;84.0;0.0;49.0;0.0;0.0
3ef9f4ba7103f58a72fdb5cab3953356;92.0;359.0;0.0;92.0;0.0;214.0;0.0;125.0;117.0;132.0;93.0;0.0;69.0;303.0;0.0;0.0;100.0;83.0;0.0;66.0;263.0;76.0;0.0;0.0;217.0;0.0;0.0;326.0;0.0;67.0;239.0;0.0;289.0;119.0;0.0;0.0;50.0;0.0;119.0;89.0;220.0;0.0;77.0;116.0;0.0;98.0;0.0;78.0;219.0;0.0;136.0;58.0;86.0;183.0;0.0;0.0;265.0;203.0;62.0;137.0;220.0;0.0;0.0;0.0;98.0;111.0;0.0;98.0;108.0;86.0;105.0;30.0;89.0;128.0
e5815c7271b14b25d451a769cb932112;0.0;338.0;83.0;0.0;923.0;0.0;0.0;0.0;0.0;179.0;120.0;0.0;0.0;0.0;0.0;0.0;0.0;48.0;0.0;48.0;0.0;145.0;0.0;0.0;50.0;50.0;0.0;0.0;512.0;0.0;43.0;0.0;0.0;0.0;498.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80.0;0.0;0.0;70.0;0.0;215.0;45.0;0.0;0.0;212.0;89.0;0.0;390.0;0.0;59.0;64.0;670.0;78.0;610.0;0.0;0.0;0.0;101.0;41.0;0.0;504.0;0.0;35.0;0.0;44.0;0.0;0.0
c72c7d0db15c24a3e7007e350d3bfb4c;88.0;363.0;113.0;100.0;0.0;176.0;0.0;100.0;0.0;125.0;59.0;0.0;64.0;250.0;0.0;0.0;103.0;79.0;0.0;50.0;217.0;79.0;34.0;132.0;208.0;0.0;0.0;314.0;0.0;51.0;219.0;0.0;247.0;122.0;0.0;0.0;55.0;0.0;104.0;89.0;215.0;0.0;75.0;83.0;0.0;38.0;0.0;87.0;201.0;0.0;100.0;40.0;76.0;157.0;0.0;0.0;204.0;183.0;68.0;132.0;199.0;0.0;0.0;0.0;122.0;101.0;0.0;91.0;107.0;87.0;74.0;28.0;68.0;121.0
c36e2beadbadf6d551cd2154b56aaf1e;0.0;334.0;105.0;0.0;912.0;0.0;0.0;0.0;0.0;149.0;99.0;17.0;0.0;123.0;0.0;0.0;0.0;53.0;0.0;22.0;0.0;129.0;0.0;0.0;48.0;73.0;0.0;0.0;476.0;0.0;0.0;0.0;0.0;0.0;493.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;78.0;0.0;0.0;59.0;0.0;217.0;22.0;0.0;0.0;195.0;77.0;0.0;386.0;0.0;43.0;66.0;642.0;81.0;576.0;0.0;0.0;0.0;95.0;17.0;0.0;496.0;0.0;0.0;0.0;34.0;56.0;0.0
4b9ba1297ab9bfe52fcd0b33984d2a7a;0.0;333.0;89.0;0.0;927.0;0.0;0.0;0.0;0.0;137.0;109.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;0.0;112.0;0.0;150.0;0.0;0.0;26.0;29.0;0.0;0.0;430.0;0.0;0.0;0.0;0.0;0.0;431.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.0;0.0;0.0;69.0;0.0;233.0;126.0;0.0;0.0;179.0;75.0;0.0;345.0;0.0;49.0;60.0;588.0;90.0;559.0;0.0;0.0;0.0;76.0;123.0;0.0;486.0;0.0;0.0;0.0;38.0;64.0;0.0
