BCI	Sex	Temp_PC1	Daylength	Microbiome_Observed	Microbiome_PCoA1	Diet_Observed	Diet_PCoA1
22,82589758	1	-2,874910916	7,6	74	-0,10381923	5	0,135791948
4,507993869	0	0,579483002	16,7	129	0,032022807	4	0,170560241
32,85854654	1	0,579483002	16,7	122	0,087650362	6	-0,220198282
-24,28864612	0	-1,24675455	9,57	60	-0,163404542	8	0,025355985
-45,23586161	1	1,815548152	16,85	64	0,437404943	9	0,200433711
33,59209763	0	0,579483002	16,7	113	-0,199959928	13	0,110389274
-12,82986371	1	2,143819377	14,12	116	0,050916169	4	0,304816404
-10,2608669	1	-0,600103653	10,03	96	-0,116154378	14	-0,094023571
-5,733696955	0	1,558746775	16,53	95	0,162895548	4	-0,093208907
-2,857416886	0	-1,24675455	9,57	88	0,172255027	9	0,025736083
-3,813967463	1	-1,939294661	9,12	30	0,137380266	1	0,11747479
42,25854654	1	-0,70043522	9,97	52	-0,152862303	10	0,274735656
37,21750897	0	-2,874910916	7,6	73	-0,29077595	4	-0,330726895
-21,06548944	1	1,558746775	16,17	107	0,210320672	5	-0,065918187
29,28995579	1	1,558746775	16,17	116	-0,121488667	7	-0,176468168
-49,9676541	0	-1,939294661	9,12	99	0,048192287	14	0,040776853
28,94129776	1	-2,302004608	8,93	82	-0,341857715	16	-0,330323707
-2,038792739	1	1,815548152	16,85	94	-0,095456899	10	0,403647012
-30,20639097	1	-1,939294661	9,12	129	-0,124988	9	-0,154436556
-24,35087856	0	1,558746775	16,17	137	-0,22977737	14	0,214549076
2,159741892	1	1,213201271	15,43	58	0,356818826	8	0,102497776
31,01870432	1	1,558746775	16,53	105	-0,270510898	4	-0,193475021
-60,90702308	0	1,558746775	16,17	48	0,5163958	16	-0,285045698
-38,93281766	1	1,815548152	16,85	121	-0,156854624	11	-0,152029038
14,75257146	0	-1,939294661	9,12	106	-0,231987399	7	-0,134680894
-11,8531104	1	1,213201271	15,43	97	-0,301143704	9	-0,090059113
-3,826503699	1	-0,70043522	9,97	104	-0,173565489	12	-0,157677927
23,68986579	1	1,213201271	15,43	57	0,504925434	5	0,16445496
-0,051351797	1	1,558746775	16,53	95	0,097392933	15	0,047595442
-35,79042754	1	1,213201271	15,43	89	0,345170426	13	-0,164379899
51,69674299	1	1,558746775	16,17	121	-0,012040195	5	-0,148627415
-2,57969427	1	-1,939294661	9,12	81	-0,277092282	2	-0,297439549
20,42754335	1	-0,70043522	9,97	62	-0,304190034	13	0,24424661
-29,1375302	0	0,579483002	16,7	79	-0,129700195	10	0,017369408
-41,4297737	0	1,558746775	16,53	48	0,185519983	6	0,185931397
-1,259085479	1	-2,874910916	7,6	44	0,272119433	9	-0,262838044
-16,0513518	1	-1,24675455	9,57	74	-0,025397368	28	-0,036708375
-4,567158034	0	1,815548152	16,85	83	0,19860317	3	-0,045821641
17,96630304	1	-1,24675455	9,57	87	-0,010773808	18	0,198363743
-7,160664065	1	-2,874910916	7,6	98	-0,182910168	5	-0,019548351
17,20695738	1	1,213201271	15,43	90	0,095044681	8	-0,066452882
-6,093741908	1	0,579483002	16,7	74	-0,028328857	16	-0,088592743
80,89209763	0	-1,24675455	9,57	93	-0,093270528	15	0,15340727
17,74490496	1	-0,70043522	9,97	43	0,490668431	16	0,346783418
-1,295207277	1	-2,874910916	7,6	69	-0,115880342	10	-0,18447993
1,04490496	1	1,558746775	16,53	103	-0,069058302	13	-0,142430465
-23,4297737	0	-0,70043522	9,97	74	0,219846212	2	0,100948574
1,697599467	0	-2,302004608	8,93	112	-0,19377002	8	-0,045417322
-2,445669943	0	2,143819377	14,12	143	0,058297711	12	0,118797025
-38,61358423	1	1,558746775	16,17	87	0,248197895	19	0,336045747
45,45518653	0	1,815548152	16,85	120	0,015709573	8	-0,27898606
10,11750897	0	1,558746775	16,17	115	-0,024698954	12	-0,200701642
39,60799387	0	-0,70043522	9,97	92	0,187283208	5	0,148386645
64,02461222	1	-2,874910916	7,6	108	-0,252093211	18	0,07279318
-53,63272765	0	1,815548152	16,85	123	-0,190235105	12	0,083904314
-37,75980759	0	1,558746775	16,17	111	-0,115055162	15	0,195278687
-30,82848834	1	1,213201271	15,43	138	-0,046434629	9	0,189002426
-4,159491536	1	-2,302004608	8,93	120	-0,0202224	6	-0,229141837
13,45942584	0	-0,732818037	10,65	99	0,034726859	12	-0,040235533
