Sample;SampleID
FP.GR18081;FPS025
FP.GR18093;FPS022
FP.GR18249;FPS062
FP.GR18294;FPS027
FP.GR18250;FPS034
FP.GR18262;FPS073
FP.GR18261;FPS053
FP.GR18300;FPS039
FP.GR18258;FPS036
FP.GR18055;FPS015
FP.GR18272;FPS019
FP.GR18264;FPS026
FP.GR18076;FPS040
FP.GR18078;FPS072
FP.GR18288;FPS065
FP.GR18273;FPS030
FP.GR18056;FPS029
FP.GR18283;FPS010
FP.GR18286;FPS054
FP.GR18247;FPS049
FP.GR18079;FPS031
FP.GR18284;FPS005
FP.GR18298;FPS071
FP.GR18282;FPS023
FP.GR18063;FPS066
FP.GR18089;FPS075
FP.GR18099;FPS009
FP.GR18070;FPS035
FP.GR18094;FPS045
FP.GR18059;FPS060
FP.GR18100;FPS042
FP.GR18246;FPS002
FP.GR18077;FPS069
FP.GR18075;FPS056
FP.GR18062;FPS059
FP.GR18066;FPS032
FP.GR18287;FPS003
FP.GR18061;FPS013
FP.GR18082;FPS038
FP.GR18069;FPS047
FP.GR18090;FPS011
FP.GR18096;FPS004
FP.GR18088;FPS050
FP.GR18054;FPS041
FP.GR18086;FPS012
FP.GR18073;FPS021
FP.GR18245;FPS006
FP.GR18072;FPS055
FP.GR18083;FPS061
FP.GR18065;FPS074
FP.GR18052;FPS001
FP.GR18098;FPS014
FP.GR18095;FPS067
FP.GR18057;FPS052
FP.GR18087;FPS058
FP.GR18085;FPS046
FP.GR18060;FPS070
FP.GR18260;FPS008
FP.GR18259;FPS044
