Nu;Sample;Genus;Abundance
1;FP.GR18247;Sagina;2118
2;FP.GR18264;Poa;1594
3;FP.GR18082;Berberis;1325
4;FP.GR18283;Stellaria;1314
5;FP.GR18259;Vicia;1199
6;FP.GR18246;Linum;1155
7;FP.GR18295;Vicia;1045
8;FP.GR18074;Robinia;1008
9;FP.GR18283;Panicum;963
10;FP.GR18055;Vicia;856
11;FP.GR18288;Juglans;801
12;FP.GR18077;Helianthus;782
13;FP.GR18288;Tilia;777
14;FP.GR18259;Ficaria;731
15;FP.GR18260;Linum;691
16;FP.GR18078;Sagina;690
17;FP.GR18245;Taraxacum;682
18;FP.GR18078;Tilia;667
19;FP.GR18264;Sagina;644
20;FP.GR18075;Ranunculus;639
21;FP.GR18286;Stellaria;565
22;FP.GR18259;Poa;448
23;FP.GR18075;Ficaria;433
24;FP.GR18083;Robinia;407
25;FP.GR18260;Helianthus;387
26;FP.GR18249;Vicia;385
27;FP.GR18283;Linum;378
28;FP.GR18055;Linum;335
29;FP.GR18294;Ficaria;331
30;FP.GR18283;Brassica;325
31;FP.GR18288;Sagina;301
32;FP.GR18246;Poa;287
33;FP.GR18070;Poa;278
34;FP.GR18245;Lathyrus;275
35;FP.GR18259;Ranunculus;265
36;FP.GR18056;Helianthus;260
37;FP.GR18069;Stellaria;251
38;FP.GR18258;Brassica;231
39;FP.GR18100;Panicum;226
40;FP.GR18260;Panicum;225
41;FP.GR18298;Poa;219
42;FP.GR18100;Linum;213
43;FP.GR18068;Avena;212
44;FP.GR18075;Panicum;210
45;FP.GR18245;Linum;196
46;FP.GR18089;Helianthus;190
47;FP.GR18096;Glycine;179
48;FP.GR18245;Trifolium;179
49;FP.GR18076;Ficaria;166
50;FP.GR18056;Triticum;155
51;FP.GR18066;Juglans;154
52;FP.GR18259;Stellaria;151
53;FP.GR18294;Ranunculus;151
54;FP.GR18068;Lens;150
55;FP.GR18273;Poa;149
56;FP.GR18052;Tilia;142
57;FP.GR18273;Capsella;139
58;FP.GR18246;Triticum;131
59;FP.GR18051;Helianthus;129
60;FP.GR18283;Ficaria;128
61;FP.GR18249;Sparganium;127
62;FP.GR18249;Cucumis;122
63;FP.GR18059;Stellaria;113
64;FP.GR18078;Poa;110
65;FP.GR18079;Triticum;107
66;FP.GR18098;Lens;102
67;FP.GR18052;Fraxinus;96
68;FP.GR18260;Urtica;90
69;FP.GR18260;Poa;88
70;FP.GR18082;Fraxinus;87
71;FP.GR18249;Allium;86
72;FP.GR18078;Solanum;85
