PoopNr;LabID;SeqID;Type;Group;BirdID;SwabNr;FeatherNr;ColourRing;Location;Day;Month;Year;Time;DayPart;Obs;Season;Age;RecapWinter;Wing;HeadBill;BodyMass;MoultScore;Sex;Colour;WingPattern;White;WhiteLocation;OtherCols;OtherColoursLocation;FeatherType;Remarks;SternumLength;;
FP.GR18051;KQZ2407;20240401F0701;TS;Poop;3819298;FP.GR18016;FP.GR18103;W-B7;MOLUKKENPAD;11;2;2019;11:40-13:30;MORNING;HZ+MD;WINTER;AD;NO;226;55;358.5;;F;BLUE;CHECK;NO;;NO;;Mature;POOPED ON TAIL WHILE LAYING ON BACK;;1ST CALENDER YEAR;
FP.GR18052;KQZ2458;20240401F0208;TS;Poop;3819285;FP.GR18015;FP.GR18144;Y-C0;NOORDERPLANTSOEN;21;1;2019;13:45-16:30;AFTERNOON;HZ+MD;WINTER;AD;NO;245;53.9;382.7;;M;BLUE;CHECK;NO;;NO;;Mature;SHOWED MALE MATING BEHAVIOUR 30-06-2019;68.6;Mature;
FP.GR18054;KQZ2424;20240401F0803;TS;Poop;3819293;FP.GR18027;FP.GR18112;W-B1;VISMARKT;4;2;2019;9:00-11:30;MORNING;HZ+MD;WINTER;AD;NO;246;54.1;359.9;;M;BLUE;SPREAD;NO;;NO;;Mature (2feathers);LEFT FOOT MISSES 1 TOE;;;
FP.GR18055;KQZ2461;20240401F0508;TS;Poop;3826030;FP.GR18199;FP.GR18348;Y-D7;NOORDERPLANTSOEN;21;7;2019;9:15-12:00;MORNING;HZ+MD;SUMMER;AD;NO;235;54.3;305.8;5,55E+12;M;BLUE;T-CHECK;NO;;NO;;Blood;"SWAB NR REUSED IN FIELD BOOK, swab nr most likely correct"",";;;
FP.GR18056;KQZ2462;20240401F0608;TS;Poop;3826023;FP.GR18008;FP.GR18148;Y-D2;NOORDERPLANTSOEN;12;7;2019;15:15-16:00;AFTERNOON;HZ+MD;SUMMER;AD;NO;231;52.9;349.2;5555530000;M;BLUE;CHECK;NO;;NO;;Mature;;;"1ST CALENDER YEAR,  SWAB NR REUSED IN FIELD BOOK, was most likely FP.GR18224"",";
FP.GR18057;KQZ2439;20240401F0705;TS;Poop;3819283;FP.GR18028;FP.GR18137;Y-B8;NOORDERPLANTSOEN;21;1;2019;13:45-16:30;AFTERNOON;HZ+MD;WINTER;AD;NO;240;51.1;344.9;;M;BLUE;BAR;NO;;NO;;Mature;;66.5; RECAPTURE WINTER MOLLUKKENVIJVER;
FP.GR18059;KQZ2409;20240401F0102;TS;Poop;3826004;FP.GR18043;FP.GR18132;W-C2;MOLUKKENPAD;12;7;2019;13:45-15:05;AFTERNOON;HZ+MD;SUMMER;AD;YES;231;52.4;278.2;5.51e+09;F;BLUE;CHECK;NO;;NO;;Blood;RECAPTURE WINTER MOLLUKKENVIJVER;;;
FP.GR18060;KQZ2426;20240401F0204;TS;Poop;3819280;FP.GR18050;FP.GR18121;Y-B5;NOORDERPLANTSOEN;21;1;2019;13:45-16:30;AFTERNOON;HZ+MD;WINTER;AD;NO;241;54.3;410;;M;BLUE;CHECK;NO;;NO;;Mature (2feathers);;72.4;Mature;
FP.GR18061;KQZ2425;20240401F0104;TS;Poop;3819299;FP.GR18033;FP.GR18143;W-B8;MOLUKKENPAD;17;2;2019;11:00-13:15;MORNING;HZ+MD;WINTER;AD;NO;232;54.6;358.7;;M;BLUE;CHECK;YES;WHITE PATCHES IN WING + WHITE SPECKLES ON HEAD;NO;;Mature;;;;
FP.GR18062;KQZ2437;20240401F0505;TS;Poop;3826001;FP.GR18024;FP.GR18107;W-B9;MOLUKKENPAD;17;2;2019;11:00-13:15;MORNING;HZ+MD;WINTER;AD;NO;230;52.5;333.9;;M;BLUE;CHECK;NO;;NO;;Mature;POOP FROM TROUSERS;;;
FP.GR18063;KQZ2422;20240401F0603;TS;Poop;3826014;FP.GR18211;FP.GR18150;Y-C6;NOORDERPLANTSOEN;30;6;2019;9:15-12:00;MORNING;HZ+MD;SUMMER;AD;NO;221;54;328.6;5,54E+12;F;BLUE;T-CHECK;NO;;NO;;Mature;;;1ST CALENDER YEAR;
FP.GR18065;KQZ2459;20240401F0308;TS;Poop;3819287;FP.GR18030;FP.GR18101;Y-C2;NOORDERPLANTSOEN;1;2;2019;10:45-12:15;MORNING;HZ+MD;WINTER;AD;NO;240;54;339.5;;M;BLUE;BAR;NO;;NO;;Blood;;69.9;;
FP.GR18066;KQZ2457;20240401F0108;TS;Poop;3819300;FP.GR18010;FP.GR18111;W-A8;VISMARKT;4;2;2019;9:00-11:30;MORNING;HZ+MD;WINTER;AD;NO;236;53.3;347.7;;F;BLUE;CHECK;NO;;NO;;Blood;;;Mature;
FP.GR18068;KQZ2450;20240401F0207;TS;Poop;3819286;FP.GR18047;FP.GR18146;Y-C1;NOORDERPLANTSOEN;21;1;2019;13:45-16:30;AFTERNOON;HZ+MD;WINTER;AD;NO;241;52.2;310.7;;F;BLUE;CHECK;NO;;NO;;Blood;BALD HEAD AFTER ATTACK;66;;
FP.GR18069;KQZ2438;20240401F0605;TS;Poop;3819297;FP.GR18190;FP.GR18116;W-B6;MOLUKKENPAD;12;7;2019;13:45-15:05;AFTERNOON;HZ+MD;SUMMER;AD;YES;238;54.6;335.5;5555200000;M;BLUE;CHECK;NO;;NO;;Blood;RECAPTURE WINTER MOLLUKKENVIJVER;;;
FP.GR18070;KQZ2404;20240401F0401;TS;Poop;3826005;FP.GR18044;FP.GR18127;W-C3;MOLUKKENPAD;17;2;2019;11:00-13:15;MORNING;HZ+MD;WINTER;AD;NO;247;54.7;360.1;;M;BLUE;SPREAD;NO;;NO;;Mature;BROODPATCH?;;"RECAPTURE MOLUKKENPAD, LEFT FOOT 2 TOES LEFT, STRING REMOVED FROM RIGHT FOOT, LARGE BROOD PATCH"",";
FP.GR18072;KQZ2443;20240401F0306;TS;Poop;3819290;FP.GR18003;FP.GR18139;W-B5;MOLUKKENPAD;11;2;2019;11:40-13:30;MORNING;HZ+MD;WINTER;AD;NO;226;53.4;381.7;;F;BLUE;BAR;NO;;YES;A BIT OF REDDISH IN DARK BLUE FEATHERS OF WING COVERTS;Mature;;;Mature;RECAPTURE MOLUKKENVIJVER
